imdb_title_identifier,domestic_gross,international_gross,worldwide_gross,name
tt0070328,35377836,0,35377836,Live and Let Die
tt0070355,39768000,0,39768000,Magnum Force
tt0070379,32645,0,32645,Mean Streets
tt0070511,53267000,0,53267000,Papillon
tt0070666,29800000,0,29800000,Serpico
tt0070707,18344729,0,18344729,Sleeper
tt0070735,156000000,0,156000000,The Sting
tt0070849,36144000,0,36144000,Last Tango in Paris
tt0070902,16000,0,16000,Wattstax
tt0070903,45000000,0,45000000,The Way We Were
tt0070917,60891,0,60891,The Wicker Man
tt0071115,18600000,0,18600000,Alice Doesn't Live Here Anymore
tt0071129,125493,66700,192193,Amarcord
tt0071206,39552000,0,39552000,Benji
tt0071230,119601481,0,119601481,Blazing Saddles
tt0071315,29200000,0,29200000,Chinatown
tt0071360,4420000,0,4420000,The Conversation
tt0071381,31452,0,31452,Celine and Julie Go Boating
tt0071402,22000000,0,22000000,Death Wish
tt0071455,79666653,0,79666653,Earthquake
tt0071487,6172,0,6172,The Phantom of Liberty
tt0071562,47542841,100594,47643435,The Godfather: Part II
tt0071577,20563273,0,20563273,The Great Gatsby
tt0071604,28754,0,28754,Hearts and Minds
tt0071607,38229000,0,38229000,Herbie Rides Again
tt0071615,61001,34857,95858,The Holy Mountain
tt0071771,43008075,0,43008075,The Longest Yard
tt0071807,20972000,0,20972000,The Man with the Golden Gun
tt0071853,1827696,107370,1935066,Monty Python and the Holy Grail
tt0071877,27634716,0,27634716,Murder on the Orient Express
tt0072041,4546,0,4546,Promised Lands
tt0072081,41833347,0,41833347,The Return of the Pink Panther
tt0072204,13793,0,13793,Stavisky...
tt0072226,7500000,0,7500000,The Sugarland Express
tt0072271,30859000,0,30859000,The Texas Chain Saw Massacre
tt0072272,26890200,0,26890200,That's Entertainment!
tt0072288,21700000,0,21700000,Thunderbolt and Lightfoot
tt0072308,116000000,0,116000000,The Towering Inferno
tt0072431,86273333,0,86273333,Young Frankenstein
tt0072653,36853000,0,36853000,The Apple Dumpling Gang
tt0072665,1500000,0,1500000,At Long Last Love
tt0072750,3602023,0,3602023,Bug
tt0072890,50000000,0,50000000,Dog Day Afternoon
tt0072913,21779,0,21779,Master of the Flying Guillotine
tt0072926,14200000,0,14200000,The Eiger Sanction
tt0072951,20000000,0,20000000,Escape to Witch Mountain
tt0073015,2122703,0,2122703,Framed
tt0073018,12484444,0,12484444,French Connection II
tt0073026,39000000,0,39000000,Funny Lady
tt0073043,293053,0,293053,The Giant Spider Invasion
tt0073053,11000000,0,11000000,"Give 'em Hell, Harry!"
tt0073075,20642922,0,20642922,The Great Waldo Pepper
tt0073076,36923,0,36923,Grey Gardens
tt0073155,19120,0,19120,L'important c'est d'aimer
tt0073190,15700729,0,15700729,Once Is Not Enough
tt0073195,260000000,210653000,470653000,Jaws
tt0073312,20123742,0,20123742,Love and Death
tt0073317,24441725,0,24441725,Lucky Lady
tt0073440,9984123,0,9984123,Nashville
tt0073486,108981275,0,108981275,One Flew Over the Cuckoo's Nest
tt0073510,43214,111762,154976,Pantaleï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½
tt0073540,49582,0,49582,Picnic at Hanging Rock
tt0073580,620155,131452,751607,The Passenger
tt0073629,112892319,0,112892319,The Rocky Horror Picture Show
tt0073692,49407734,0,49407734,Shampoo
tt0073778,51264,0,51264,Maggie's Stiletto Sisters
tt0073802,27476252,0,27476252,Three Days of the Condor
tt0073812,34251525,16989,34268514,Tommy
tt0073817,7876,0,7876,Swept Away
tt0074119,70600000,0,70600000,All the President's Men
tt0074152,38296,0,38296,Small Change
tt0074174,32211330,0,32211330,The Bad News Bears
